2020-08-24 00:00:00,1.246,1.373
2020-08-25 00:00:00,1.246,1.373
2020-08-26 00:00:00,1.246,1.373
2020-08-27 00:00:00,1.246,1.373
2020-08-28 00:00:00,1.246,1.373
2020-08-31 00:00:00,1.246,1.373
2020-09-01 00:00:00,1.246,1.373
2020-09-02 00:00:00,1.246,1.373
2020-09-03 00:00:00,1.246,1.373
2020-09-04 00:00:00,1.246,1.373
2020-09-07 00:00:00,1.246,1.373
2020-09-08 00:00:00,1.246,1.373
2020-09-09 00:00:00,1.246,1.373
2020-09-10 00:00:00,1.247,1.374
2020-09-11 00:00:00,1.247,1.374
2020-09-14 00:00:00,1.247,1.374
2020-09-15 00:00:00,1.247,1.374
2020-09-16 00:00:00,1.247,1.374
2020-09-17 00:00:00,1.247,1.374
2020-09-18 00:00:00,1.247,1.374
2020-09-21 00:00:00,1.247,1.374
2020-09-22 00:00:00,1.247,1.374
2020-09-23 00:00:00,1.247,1.374
2020-09-24 00:00:00,1.247,1.374
2020-09-25 00:00:00,1.247,1.374
2020-09-28 00:00:00,1.247,1.374
2020-09-29 00:00:00,1.247,1.374
2020-09-30 00:00:00,1.248,1.375
2020-10-09 00:00:00,1.248,1.375
2020-10-12 00:00:00,1.248,1.375
2020-10-13 00:00:00,1.248,1.375
2020-10-14 00:00:00,1.248,1.375
2020-10-15 00:00:00,1.248,1.375
2020-10-16 00:00:00,1.249,1.376
2020-10-19 00:00:00,1.249,1.376
2020-10-20 00:00:00,1.249,1.376
2020-10-21 00:00:00,1.249,1.376
2020-10-22 00:00:00,1.25,1.377
2020-10-23 00:00:00,1.25,1.377
2020-10-26 00:00:00,1.251,1.378
2020-10-27 00:00:00,1.251,1.378
