2017-11-07 00:00:00,1.001,1.261
2017-11-08 00:00:00,1.001,1.261
2017-11-09 00:00:00,1.001,1.261
2017-11-10 00:00:00,1.001,1.261
2017-11-13 00:00:00,1.001,1.261
2017-11-14 00:00:00,1.001,1.261
2017-11-15 00:00:00,1.001,1.261
2017-11-16 00:00:00,1.001,1.261
2017-11-17 00:00:00,1.001,1.261
2017-11-20 00:00:00,1.001,1.261
2017-11-21 00:00:00,1.001,1.261
2017-11-22 00:00:00,1.001,1.261
2017-11-23 00:00:00,1.001,1.261
2017-11-24 00:00:00,1.001,1.261
2017-11-27 00:00:00,1.001,1.261
2017-11-28 00:00:00,1.001,1.261
2017-11-29 00:00:00,1.001,1.261
2017-11-30 00:00:00,1.001,1.261
2017-12-01 00:00:00,1.001,1.261
2017-12-04 00:00:00,1.001,1.261
2017-12-05 00:00:00,1.001,1.261
2017-12-06 00:00:00,1.001,1.261
2017-12-07 00:00:00,1.001,1.261
2017-12-08 00:00:00,1.001,1.261
2017-12-11 00:00:00,1.001,1.261
2017-12-12 00:00:00,1.001,1.261
2017-12-13 00:00:00,1.001,1.261
2017-12-14 00:00:00,1.001,1.261
2017-12-15 00:00:00,1.001,1.261
2017-12-18 00:00:00,1.001,1.261
2017-12-19 00:00:00,1.001,1.261
2017-12-20 00:00:00,1.001,1.261
2017-12-21 00:00:00,1.001,1.261
2017-12-22 00:00:00,1.001,1.261
2017-12-25 00:00:00,1.001,1.261
2017-12-26 00:00:00,1.001,1.261
2017-12-27 00:00:00,1.001,1.261
2017-12-28 00:00:00,1.001,1.261
2017-12-29 00:00:00,1.001,1.261
2018-01-02 00:00:00,1.001,1.261
2018-01-03 00:00:00,1.001,1.261
